#{"t_start": 1680454125.3650603, "env_id": null}
r,l,t
-152.346117,500,12.183018
-549.460518,500,23.078548
-203.329904,500,32.865819
-269.300215,500,42.64266
-180.451198,500,77.380405
-240.32548,500,87.063228
-203.748394,500,96.980109
-442.04188,500,106.691783
-260.479889,500,142.604512
-244.656014,500,152.364419
-489.293864,500,162.303059
-433.474331,500,172.534688
-261.01009,500,213.550177
-683.214819,500,224.416646
-413.124827,500,235.070197
-679.711142,500,245.906159
-5352.311757,290,282.911283
-92.440482,210,287.721883
-5361.285123,366,296.197817
-65.298033,134,299.156592
-5122.456707,102,301.512455
-5328.875135,293,308.366019
-71.635527,105,311.501574
-389.534578,500,325.084147
-5281.499296,319,366.116577
-73.659688,181,370.353612
-5300.846275,295,377.361603
-234.409057,205,382.155167
-5378.766274,458,393.553588
-31.130219,42,394.732877
-5186.281352,155,398.764376
-104.113421,345,407.371013
-5125.992693,101,410.090025
-173.744066,399,451.675684
-175.626607,500,464.148177
