#{"t_start": 1680454125.2828486, "env_id": null}
r,l,t
-468.117665,500,12.257392
-430.544245,500,23.161257
-116.019529,500,32.950202
-148.276321,500,42.725395
-148.594182,500,77.461838
-143.943627,500,87.151072
-529.102971,500,97.063879
-251.959101,500,106.77677
-321.71599,500,142.686698
-452.91279,500,152.448957
-581.708045,500,162.378704
-115.84003,500,172.620767
-359.360764,500,213.631821
-252.935565,500,224.494804
-412.357823,500,235.152868
-221.960385,500,245.994191
-5424.021847,352,284.529697
-56.632603,148,287.80865
-5272.685235,239,293.301775
-230.08116,261,299.235924
-5385.205321,440,309.618324
-37.191618,60,311.589331
-5352.310418,395,322.574928
-38.507227,105,325.170485
-5429.856232,496,370.323612
-2.598197,4,370.428446
-403.651696,500,382.231914
-5284.756461,354,390.984817
-160.303632,146,394.814885
-245.651512,500,407.459599
-5216.455167,185,412.406158
-108.219483,315,451.764485
-5199.329426,184,456.556649
-5164.307542,164,460.608932
-56.403044,152,464.229825
