#{"t_start": 1680454125.3319564, "env_id": null}
r,l,t
-446.917098,500,12.2095
-152.148622,500,23.115728
-151.07299,500,32.894517
-171.371085,500,42.676019
-622.380763,500,77.409877
-395.348667,500,87.09785
-407.593912,500,97.012582
-592.923255,500,106.728471
-436.302844,500,142.642599
-257.304459,500,152.39409
-320.646561,500,162.332315
-306.580332,500,172.567436
-299.945184,500,213.583941
-5654.519136,469,223.776787
-6.668674,31,224.445625
-376.73482,500,235.101878
-298.277863,500,245.942184
-5432.445745,387,285.25633
-49.534876,113,287.76153
-5470.15779,440,297.874617
-63.262616,60,299.189697
-441.564902,500,311.534765
-5417.006561,451,324.0355
-44.172518,49,325.11241
-336.947302,500,370.375606
-262.364941,500,382.181447
-5187.308484,156,385.957419
-335.441198,344,394.76152
-5238.72116,211,400.163758
-5223.12439,197,404.969897
-102.156271,92,407.391821
-5289.975255,286,414.897156
-57.253918,214,451.712466
-5074.281051,62,453.319342
-5263.539084,308,461.070573
-37.468244,130,464.179691
-5281.503597,285,471.210423
-5068.545639,56,472.641282
-50.432418,159,476.311887
-366.791064,500,488.092267
-5311.949202,399,527.221213
-5077.722447,64,528.627931
-12.205156,37,529.412975
-297.109749,500,540.463133
-256.730136,500,551.932599
-5243.71947,312,559.878989
-5083.715414,66,561.502976
-86.157104,122,564.379995
-5284.33055,439,606.846704
-18.119853,61,608.182183
-5150.744459,153,611.563392
-180.880899,347,619.731477
-5183.912189,213,625.019801
-223.898444,287,631.499634
-5121.7809,112,634.090649
-5078.05358,65,635.568763
-5311.965351,297,642.281858
-12.774581,26,642.833054
-5248.560639,326,650.873259
-64.378206,174,685.594224
-5093.629794,73,687.151156
-5093.201649,79,688.840644
-5087.909692,75,690.763112
-5104.95007,84,693.262739
-102.950409,189,698.741703
-5157.276637,151,702.346653
-5205.862943,228,708.137903
-60.859101,121,711.369877
-5312.030722,457,722.010425
-15.508024,43,723.099312
-5147.752228,153,726.665173
-5231.985024,282,733.525028
-72.713078,65,771.327615
-5101.747585,80,773.342079
-5142.244434,114,776.364465
-5088.954484,69,778.096271
-73.64946,237,784.272116
-5085.366233,65,786.027265
-5070.208329,56,787.423787
-5118.127338,97,789.874316
-5199.267845,234,795.348078
-52.280099,48,796.53882
-5138.519071,116,799.945356
-5147.107031,168,803.73344
-5079.886061,62,805.108026
-130.357391,154,808.597795
-5190.166185,265,814.431713
-5122.866744,96,816.541147
-87.98408,139,819.560351
-5147.148621,150,854.456472
-5115.697978,96,856.589619
-5110.682232,86,858.639609
-5127.252193,107,861.08339
-71.14235,61,862.427948
-5146.344842,119,865.103189
-5126.292942,100,867.299623
-5073.399215,60,868.716158
-5159.501458,147,872.100148
-77.879353,74,873.739355
-5156.27423,125,876.493814
-5174.959664,147,879.730055
-5138.75158,111,882.167096
-135.309019,117,884.839547
-5165.087165,130,887.695325
-5150.515512,130,890.559897
-5142.266795,120,893.66555
-125.959278,120,896.666958
-5086.340726,73,898.460608
-5091.332527,69,932.399867
-5188.052976,145,935.945651
-5081.05827,63,937.511068
-5175.328871,132,940.865873
-7.71189,18,941.286777
-5096.720434,76,943.090151
-5071.621152,57,944.499548
-5160.492772,127,947.418625
-5104.408507,82,949.237321
-5171.557665,142,952.422887
-7.059526,16,952.79424
-5069.983011,53,954.049566
-5088.451012,71,955.63567
-5144.308592,136,958.661601
-5151.034032,121,961.324374
-5102.903637,82,963.100801
-18.66402,37,963.91705
-5148.190941,129,966.898744
-5079.736257,60,968.255544
-5127.00956,115,970.738348
-5129.952267,106,972.98854
-75.098058,90,974.916948
-5146.06348,124,977.625857
-5073.319209,56,1009.294347
-5132.582519,98,1011.421619
-5175.6081,130,1014.190041
-100.936333,92,1016.182597
-5155.074254,135,1019.199722
-5148.627872,137,1022.119862
-5152.050967,143,1025.184651
-5100.590872,76,1026.83404
-5.570997,9,1027.02128
-5114.660153,101,1029.268181
-5112.482012,91,1031.259298
-5163.59475,130,1034.096251
-5177.994462,137,1037.000014
-31.634478,41,1037.945421
-5099.433693,84,1039.77641
-5090.186971,77,1041.460124
-5139.415831,117,1044.019202
-5110.726983,89,1045.928578
-5106.983244,82,1047.696367
-59.843697,51,1048.799548
-5112.448681,91,1050.822269
-5072.388236,57,1052.031855
-5155.641412,127,1085.553214
-5143.751824,135,1088.419684
-81.980582,90,1090.332405
-5105.416362,89,1092.309313
-5124.041729,97,1094.344382
-5135.269841,105,1096.636997
-5139.942447,113,1099.060241
-112.621485,96,1101.227043
-5094.369752,74,1102.791437
-5175.277893,132,1105.676731
-5131.593384,119,1108.336726
-5079.298288,64,1109.72935
-120.409891,111,1112.099982
-5132.446035,97,1114.30509
-5093.64351,76,1116.019906
-5100.649814,84,1117.778568
-5088.915359,72,1119.347155
-5084.167495,70,1120.877598
-99.331229,101,1123.030131
-5104.021179,85,1124.903326
-5146.365464,135,1127.832606
-5178.094581,147,1165.259029
-5153.567653,125,1168.27648
-1.323167,8,1168.452586
-5076.578345,63,1170.076467
-5136.425409,117,1172.944777
-5121.377971,96,1175.206791
-5133.166826,115,1177.898396
-135.83897,109,1180.828655
-5139.370716,117,1183.78962
-5183.192009,136,1187.3245
-5138.975832,129,1190.560333
-105.556466,118,1193.573798
-5201.193678,143,1197.206033
-5092.399753,77,1199.043248
-5102.483775,84,1200.999691
-5080.760731,65,1202.603461
-142.080743,131,1205.664929
-5083.606368,69,1207.322129
-5125.676653,104,1209.740398
-5211.94882,142,1246.776271
-5160.787281,127,1249.825526
-48.804815,58,1251.168536
-5112.753465,90,1253.375751
-5183.086083,137,1256.584302
-5139.766876,122,1259.377206
-5113.836073,100,1261.741431
-24.017327,51,1262.984002
-5117.681996,95,1265.308673
-5203.253544,147,1268.72628
-5121.938917,97,1271.044697
-5111.505473,93,1273.159792
-42.020756,68,1274.763093
-5193.47064,142,1278.276629
-5065.102176,52,1279.525749
-5094.139063,78,1281.850027
-5170.766854,145,1285.099404
-70.087464,83,1286.906126
-5125.169842,115,1289.446043
-5108.660342,90,1291.417205
-5129.881593,113,1329.380401
-5144.234831,149,1332.888094
-32.844826,33,1333.653897
-5146.864393,133,1336.721963
-5106.392628,97,1338.886446
-5145.060427,148,1342.221051
-5066.328049,53,1343.422585
-5080.832151,69,1344.988802
-5085.276234,68,1346.543876
-5135.290218,133,1349.566807
-5150.141571,135,1352.687149
-5076.418731,64,1354.127381
-97.658666,100,1356.387152
-5156.077566,149,1359.80346
-5075.525801,63,1361.273173
-5112.94818,110,1363.777451
-5069.830494,54,1364.983557
-5137.252246,123,1367.705303
-0.524983,1,1367.7247
-5098.575895,84,1369.708776
-5158.493225,136,1372.804009
-5247.513255,180,1410.500301
-5099.915919,89,1412.90391
-4.535971,11,1413.216126
-5078.632293,60,1414.947463
-5148.708841,128,1418.81431
-5147.58462,124,1422.308269
-5084.5751,72,1423.960546
-5099.455368,90,1425.962115
-16.715138,26,1426.496041
-5130.196322,106,1429.210713
-5086.544502,74,1431.631458
-5084.585657,71,1433.778294
-5086.3442,71,1435.486593
-5081.513761,68,1437.039953
-5113.834223,106,1439.461563
-2.782241,4,1439.553951
-5129.370995,104,1441.953424
-5142.749076,116,1444.505063
-5091.726766,77,1446.185866
-5134.586399,136,1449.281697
-74.416981,67,1451.34239
-5140.187302,113,1453.967501
-5150.963909,121,1456.772622
-5110.821677,96,1459.047464
-5091.030074,74,1460.926615
-5075.295089,58,1497.607895
-10.412279,38,1498.646956
-5155.602298,133,1501.600843
-5125.860669,116,1504.080002
-5137.93443,117,1506.61153
-5135.338069,127,1509.377383
-4.273256,7,1509.530163
-5162.856571,147,1512.692114
-5149.54889,120,1515.338915
-5159.856111,142,1518.365626
-111.69509,91,1520.447484
-5098.793109,77,1522.249483
-5123.935765,105,1524.673154
-5152.979342,123,1527.5894
-5177.969532,146,1530.712611
-44.438201,49,1531.827591
-5085.824442,66,1533.43474
-5156.452046,143,1536.638757
-5124.02003,119,1539.277847
-5106.146175,85,1541.112265
-5084.149603,69,1577.842265
-3.643823,18,1578.285454
-5180.632336,150,1581.96835
-5163.846375,149,1585.498241
-5129.273408,116,1588.304146
-96.010113,85,1590.454527
-5116.515671,92,1592.787941
-5151.422883,148,1596.335456
-5137.428134,127,1599.336576
-5100.537078,90,1601.519511
-43.115881,43,1602.521696
