#{"t_start": 1680537276.3476582, "env_id": null}
r,l,t
-5067.917394,202,12.344814
-5257.0474,280,25.956891
-1.760853,18,26.734831
-5013.845266,15,27.338581
-5020.494831,80,30.930293
-143.424722,405,49.963869
-311.685109,500,74.576099
-5057.410656,293,88.97555
-112.760119,207,98.472909
-5004.542678,20,99.503648
-5006.204764,21,100.301294
-5016.0568,18,147.085377
-5005.586711,13,147.715653
-5004.577997,23,148.733202
-5003.745711,11,149.276177
-5011.225982,14,149.845048
-5003.548311,21,150.720821
-5006.940052,8,151.030847
-5000.817828,2,151.119052
-5005.898119,14,151.738534
-5004.604822,7,152.042743
-5001.002289,2,152.118517
-5010.488774,19,152.915753
-5012.654023,15,153.548997
-5014.375453,41,155.327547
-5021.382335,31,156.556696
-5000.340938,2,156.638649
-5006.023365,24,157.623805
-5017.085969,20,158.444804
-5016.549144,20,159.217144
-5003.850518,28,160.439299
-5001.814027,4,160.650016
-5031.850051,40,162.337893
-5004.059042,12,162.861425
-5004.117433,25,163.92854
-5005.196828,24,164.983425
-5000.831996,3,165.114419
-5002.577677,8,165.425292
-5000.944752,5,165.622818
-2.205211,5,165.831097
-5015.456343,21,166.631061
-5002.086434,7,166.933593
-5003.061163,7,167.187726
-5008.984159,11,167.627183
-5001.958603,3,167.742099
-5006.487888,24,168.696492
-5018.672337,29,169.883437
-5004.029389,14,170.372152
-5003.812956,15,170.965785
-5019.216007,24,171.936621
-5009.30623,14,172.599095
-5022.349301,32,173.938934
-5001.998104,9,174.319844
-5005.221336,12,174.859007
-5004.35028,27,176.060821
-5002.713277,11,176.559907
-5003.750615,8,176.861427
-5008.829703,12,177.389846
-5002.002803,9,177.703287
-5009.897246,15,178.270102
-5002.996409,8,178.599628
-5001.742487,3,178.706511
-5009.713748,12,179.183059
-5004.939989,21,180.011486
-5002.023945,3,180.120939
-5005.42505,24,181.255597
-5011.774701,34,182.558456
-5007.974072,21,183.388845
-5004.299004,19,184.236487
-5004.022933,8,184.529554
-5005.456153,8,184.892681
-5008.226844,13,185.405484
-5011.731513,14,185.961229
-3.513843,8,186.323108
-5001.561179,4,186.506504
-5004.24449,21,187.350796
-5007.30857,18,188.11997
-5002.473336,7,188.386101
-5004.737361,22,189.404824
-5007.539156,13,189.966403
-5004.428195,13,190.46903
-5009.660056,29,191.660239
-5003.231163,25,192.747489
-5001.723389,6,193.028484
-5008.255858,10,193.451171
-5004.936037,18,194.165108
-5020.001077,27,195.559852
-5014.000009,22,196.513601
-5024.805383,30,197.704856
-5018.03981,28,198.839036
-5000.935897,4,199.02213
-5004.941169,10,199.453708
-5006.997996,34,200.78779
-5003.124457,9,201.242422
-5026.998597,36,202.665483
-5005.922446,32,203.934488
-5009.867594,34,205.336445
-5001.969298,8,205.630338
-5014.548969,20,206.406438
-5014.04518,16,207.064219
-0.685003,4,207.253464
-5012.002016,16,207.909573
-5010.881932,40,209.384569
-5005.470465,22,210.23427
-5008.679999,10,210.601255
-5003.832738,13,211.096036
-5004.446184,9,211.433607
-5011.647143,14,211.971807
-5001.715963,3,212.08067
-5005.984686,16,212.743577
-5014.609741,27,213.787039
-5002.335793,9,214.140864
-5013.549358,41,215.843752
-5011.156121,13,216.335454
-5009.234213,11,216.715148
-5003.366538,11,217.15138
-5011.288354,13,217.697183
-5012.261125,25,218.674619
-5012.298238,21,219.489871
-5017.807501,23,220.371374
-5002.469484,9,220.738379
-5020.236447,29,221.860039
-5002.444962,11,222.288651
-5012.573192,22,223.107103
-5014.96228,18,223.840489
-5002.580376,14,224.38001
-5003.650916,15,225.042584
-5002.019921,10,225.462891
-5007.125307,26,226.482572
-6.329668,9,226.889156
-5010.89183,15,227.505999
-5006.294139,26,228.539047
-5017.427949,27,229.58486
-5006.929082,9,229.96842
-5005.30596,17,230.683735
-5004.998408,12,277.247185
-5013.97893,16,277.877318
-5006.45587,11,278.291358
-5008.533628,11,278.842108
-5028.821952,36,280.305403
-5014.796036,18,281.025904
-5003.585889,17,281.761517
-5012.505283,20,282.540415
-5007.842954,26,283.635811
-5020.462545,35,285.127434
-5003.070665,7,285.399387
-5003.477189,20,286.115802
-5002.91772,10,286.543509
-5010.221499,29,287.835744
-5001.951783,3,287.970654
-5004.512792,16,288.705933
-5006.297703,15,289.281216
-5021.566447,30,290.538047
-5006.650051,35,291.865216
-24.506488,39,293.532521
-5008.854855,13,294.082149
-5003.341365,11,294.483424
-5012.635908,31,295.636699
-5002.690813,11,296.070999
-5013.443121,20,297.110312
-5008.305635,42,298.72827
-5016.262089,33,300.271352
-5010.058532,27,301.415106
-5002.938414,23,302.361562
-5010.561318,14,302.851541
-5013.174946,23,303.737763
-5004.138863,15,304.34483
-5015.119783,17,305.01516
-5007.805878,12,305.450787
-5004.135016,18,306.175026
-5010.034023,13,306.660965
-5017.790888,29,307.979822
-5009.160969,26,309.029314
-5016.440034,27,310.044263
-5020.326482,35,311.415761
-5005.697512,9,311.808234
-5001.828473,6,312.069803
-5007.145746,37,313.525965
-1.670332,8,313.845799
-5002.226904,12,314.379284
-5007.846174,10,314.804503
-5001.025989,4,315.003144
-5003.970923,23,316.027274
-5006.668116,29,317.503221
-5010.488812,13,318.022233
-5009.047177,12,318.478045
-5007.615489,12,319.012491
-5010.918753,16,319.781989
-5005.932874,7,320.070121
-5005.811846,23,321.099836
-5010.438555,20,321.876408
-5032.271201,41,323.55596
-5013.025871,26,324.641996
-5018.742149,30,325.778631
-5012.90368,29,326.937966
-5012.068122,28,328.15281
-5006.914934,8,328.433491
-5004.364901,6,328.64613
-5007.025435,30,329.973587
-5003.231253,16,330.643928
-5006.07051,15,331.217556
-5004.230304,26,332.147021
-5016.412999,22,332.857903
-5003.097181,8,333.197843
-5008.172134,18,333.943237
-14.311211,16,334.62348
-5017.993737,28,335.726046
-5008.437886,17,336.343715
-5009.17002,13,336.91139
-5010.241499,20,337.831493
-5007.19931,16,338.661261
-5002.683803,15,339.345476
-5020.04981,30,340.481125
-5002.925208,14,341.028207
-5009.550136,11,341.42885
-5003.456117,19,342.106774
-5004.467948,20,342.824627
-5007.416487,17,343.793398
-5003.773855,13,344.380384
-5008.559812,15,344.997991
-5000.587152,3,345.118793
-5002.371504,12,345.612096
