#{"t_start": 1684062664.5489962, "env_id": "RobotEnv-v0"}
r,l,t
-428.576687,500,178.298349
-440.07652,500,352.875147
-439.094114,500,527.354283
-287.557076,500,701.161647
-170.760345,500,874.839706
-178.346202,500,1048.315271
-171.987668,500,1222.480374
-62.676037,500,1396.486029
-46.922331,500,1570.79871
-82.724649,500,1744.877985
-135.997767,500,1918.874315
-173.937925,500,2092.903669
-48.961597,500,2267.369017
-33.395618,500,2441.256619
-63.527815,500,2615.42652
-173.18375,500,2790.477854
-33.627874,500,2967.109399
-175.358829,500,3142.210279
-174.768191,500,3316.501061
-33.255726,500,3490.864864
-60.821018,500,3665.371768
-239.388475,500,3840.028459
-31.610821,500,4014.910869
-28.787759,500,4189.389674
-163.381484,500,4364.082348
-28.672182,500,4538.262882
-168.797763,500,4712.864261
-27.010176,500,4886.925862
-165.839569,500,5061.156133
-38.170745,500,5235.726906
-35.561894,500,5410.161138
-51.811009,500,5584.817951
-32.074142,500,5759.396425
-173.971132,500,5934.287655
-31.027873,500,6109.060616
-48.390957,500,6283.451401
-36.759626,500,6458.459417
-75.767878,500,6633.025349
-27.61558,500,6807.448756
182.417504,221,6884.857326
164.938692,234,6966.498914
165.62413,238,7050.037544
172.254681,348,7171.510225
166.4799,172,7231.731225
175.174819,378,7364.178256
186.28852,71,7389.114239
-171.342259,500,7565.198512
178.366855,104,7601.785007
-176.470398,500,7777.154608
-174.417899,500,7951.951158
169.851938,125,7995.668395
183.283674,55,8014.940817
186.220572,99,8050.023345
-175.020124,500,8224.544471
178.597473,81,8252.839614
174.770578,86,8282.849035
-170.885625,500,8457.923496
186.24231,48,8474.565399
172.2178,88,8505.339525
-152.160163,500,8680.003471
186.727011,57,8699.817274
188.436724,56,8719.367449
175.639099,58,8739.564959
165.674418,110,8777.759888
161.995638,97,8811.538907
183.508435,46,8827.576695
187.035672,45,8843.257159
-173.775084,500,9017.515959
183.338305,57,9037.425237
185.046431,56,9056.893293
-185.122117,500,9231.253436
184.246985,60,9252.25363
129.789024,186,9317.107394
-132.533054,500,9491.886218
185.153385,51,9509.734213
182.44173,57,9529.756827
187.883947,46,9545.803697
122.094417,309,9654.087517
166.40341,123,9697.067907
160.642107,115,9737.299026
-227.327996,500,9912.526242
172.170303,74,9938.452549
142.441043,159,9993.766369
181.798877,56,10013.417074
150.767549,113,10052.748902
180.01306,58,10073.080733
139.130205,175,10134.411028
184.782995,61,10155.686542
183.923783,51,10173.548161
35.932163,436,10326.601822
183.094549,46,10342.743351
168.570711,80,10370.66851
183.431775,54,10389.56846
186.040687,57,10409.438916
185.848227,50,10426.9557
185.558152,51,10444.80128
177.347591,59,10465.539922
184.442133,54,10484.745019
170.718336,69,10508.84842
182.845369,59,10529.522029
168.521378,82,10558.348808
174.695913,63,10580.447682
185.570552,45,10596.269998
186.464291,55,10615.454214
174.73625,67,10638.921919
186.987529,48,10655.655954
168.270782,74,10681.462813
185.313975,60,10702.489117
184.531471,58,10722.91411
184.644191,55,10742.146234
183.133872,53,10760.782101
184.227509,47,10777.226351
184.917278,56,10796.872502
173.966312,73,10822.435256
182.082858,53,10841.075428
183.887242,52,10859.208839
179.99615,65,10881.971325
180.883923,58,10902.226676
181.211221,57,10922.305224
186.496285,45,10938.051501
184.597756,60,10959.082638
185.269287,49,10976.249312
169.751496,71,11001.042665
184.39832,54,11019.869148
184.542436,57,11039.916336
179.236294,57,11059.865041
183.9917,49,11077.020479
184.028224,55,11096.309381
183.018179,52,11114.508382
184.802363,49,11131.689984
186.218436,46,11147.803145
178.072943,63,11169.945097
186.071371,45,11185.891038
184.327531,67,11209.60655
186.315277,50,11227.128922
177.966805,55,11246.559846
183.89668,52,11264.812997
181.951637,57,11284.878049
183.962293,45,11300.574284
181.050477,51,11318.411193
177.841879,62,11340.106929
186.907652,42,11354.851445
186.613461,45,11370.583138
183.26639,56,11390.183453
170.424101,67,11413.666981
146.922292,151,11466.499986
187.030048,44,11481.905314
160.04775,129,11527.167654
184.458336,51,11545.135134
182.246399,49,11562.316535
185.721342,50,11579.771117
126.107745,179,11642.439958
186.471205,45,11658.247126
171.605607,74,11684.116126
186.213618,46,11700.227463
155.439212,87,11730.808273
183.599821,54,11749.699093
186.745341,51,11767.668737
174.368633,65,11790.491893
183.826968,53,11809.238041
182.381851,55,11828.473186
185.049323,46,11844.712763
180.377282,62,11866.544965
180.398677,57,11886.628093
183.522445,54,11905.570772
185.429218,45,11921.424222
183.292654,52,11939.684628
182.252691,56,11959.356431
180.834478,53,11977.970136
186.480223,53,11996.712174
186.717855,46,12012.804495
81.979794,287,12114.915054
179.600985,56,12134.637612
180.335758,60,12155.668899
184.888979,49,12172.830956
185.218786,48,12189.577476
177.734941,55,12208.991974
178.825997,53,12227.565908
186.827731,47,12244.253247
184.876337,49,12261.404223
187.087302,46,12277.5797
166.655081,81,12306.066583
180.399338,60,12327.106733
183.870806,49,12344.253612
